ODS,Year,Variable,Value
RXW,2016,Disability,0.6266
R1D,2016,Cleanliness,0.9842
R1D,2016,Food,0.8759
R1D,2016,Organisation Food,0.8507
R1D,2016,Ward Food,0.9107
R1D,2016,"Privacy, Dignity and Wellbeing",0.8291
R1D,2016,Condition Appearance and Maintenance,0.9473
R1D,2016,Dementia,0.8351
R1D,2016,Disability,0.7969
R1C,2016,Cleanliness,0.9707
R1C,2016,Food,0.9714
R1C,2016,Organisation Food,0.9802
R1C,2016,Ward Food,0.9643
R1C,2016,"Privacy, Dignity and Wellbeing",0.9014
R1C,2016,Condition Appearance and Maintenance,0.9414
R1C,2016,Dementia,0.8458
R1C,2016,Disability,0.8834
RH5,2016,Cleanliness,0.9993
RH5,2016,Food,0.899
RH5,2016,Organisation Food,0.8583
RH5,2016,Ward Food,0.9371
RH5,2016,"Privacy, Dignity and Wellbeing",0.9021
RH5,2016,Condition Appearance and Maintenance,0.9657
RH5,2016,Dementia,0.8708
RH5,2016,Disability,0.8916
RWN,2016,Cleanliness,0.9966
RWN,2016,Food,0.9172
RWN,2016,Organisation Food,0.8802
RWN,2016,Ward Food,0.9596
RWN,2016,"Privacy, Dignity and Wellbeing",0.9384
RWN,2016,Condition Appearance and Maintenance,0.9855
RWN,2016,Dementia,0.9521
RWN,2016,Disability,0.9548
RV5,2016,Cleanliness,0.9926
RV5,2016,Food,0.8749
RV5,2016,Organisation Food,0.9323
RV5,2016,Ward Food,0.8483
RV5,2016,"Privacy, Dignity and Wellbeing",0.9624
RV5,2016,Condition Appearance and Maintenance,0.9784
RV5,2016,Dementia,0.9496
RV5,2016,Disability,0.9332
RRE,2016,Cleanliness,0.9913
RRE,2016,Food,0.9112
RRE,2016,Organisation Food,0.8819
RRE,2016,Ward Food,0.9589
RRE,2016,"Privacy, Dignity and Wellbeing",0.9303
RRE,2016,Condition Appearance and Maintenance,0.9868
RRE,2016,Dementia,0.9241
RRE,2016,Disability,0.9482
RTR,2016,Cleanliness,0.9893
RTR,2016,Food,0.909
RTR,2016,Organisation Food,0.9141
RTR,2016,Ward Food,0.9095
RTR,2016,"Privacy, Dignity and Wellbeing",0.8323
RTR,2016,Condition Appearance and Maintenance,0.9612
RTR,2016,Dementia,0.7995
RTR,2016,Disability,0.8601
RE9,2016,Cleanliness,0.9796
RE9,2016,Food,0.8389
RE9,2016,Organisation Food,0.8738
RE9,2016,Ward Food,0.8291
RE9,2016,"Privacy, Dignity and Wellbeing",0.8654
RE9,2016,Condition Appearance and Maintenance,0.9269
RE9,2016,Dementia,0.7935
RE9,2016,Disability,0.8182
RJC,2016,Cleanliness,0.9962
RJC,2016,Food,0.9205
RJC,2016,Organisation Food,0.9327
RJC,2016,Ward Food,0.9184
RJC,2016,"Privacy, Dignity and Wellbeing",0.8076
RJC,2016,Condition Appearance and Maintenance,0.9645
RJC,2016,Dementia,0.8161
RJC,2016,Disability,0.8576
RQY,2016,Cleanliness,0.9864
RQY,2016,Food,0.9255
RQY,2016,Organisation Food,0.8895
RQY,2016,Ward Food,0.9353
RQY,2016,"Privacy, Dignity and Wellbeing",0.8999
RQY,2016,Condition Appearance and Maintenance,0.9345
RQY,2016,Dementia,0.8587
RQY,2016,Disability,0.8227
RXG,2016,Cleanliness,0.9853
RXG,2016,Food,0.8979
RXG,2016,Organisation Food,0.8608
RXG,2016,Ward Food,0.938
RXG,2016,"Privacy, Dignity and Wellbeing",0.8929
RXG,2016,Condition Appearance and Maintenance,0.9418
RXG,2016,Dementia,0.8136
RXG,2016,Disability,0.8244
RAJ,2016,Cleanliness,0.956
RAJ,2016,Food,0.8899
RAJ,2016,Organisation Food,0.9012
RAJ,2016,Ward Food,0.8889
RAJ,2016,"Privacy, Dignity and Wellbeing",0.876
RAJ,2016,Condition Appearance and Maintenance,0.8646
RAJ,2016,Dementia,0.726
RAJ,2016,Disability,0.8228
RW1,2016,Cleanliness,0.9647
RW1,2016,Food,0.9034
RW1,2016,Organisation Food,0.8778
RW1,2016,Ward Food,0.9294
RW1,2016,"Privacy, Dignity and Wellbeing",0.9009
RW1,2016,Condition Appearance and Maintenance,0.9264
RW1,2016,Dementia,0.849
RW1,2016,Disability,0.89
RVY,2016,Cleanliness,0.9899
RVY,2016,Food,0.8294
RVY,2016,Organisation Food,0.7197
RVY,2016,Ward Food,0.8702
RVY,2016,"Privacy, Dignity and Wellbeing",0.8187
RVY,2016,Condition Appearance and Maintenance,0.9166
RVY,2016,Dementia,0.6446
RVY,2016,Disability,0.7116
RJ7,2016,Cleanliness,0.967
RJ7,2016,Food,0.816
RJ7,2016,Organisation Food,0.7872
RJ7,2016,Ward Food,0.8262
RJ7,2016,"Privacy, Dignity and Wellbeing",0.8108
RJ7,2016,Condition Appearance and Maintenance,0.9239
RJ7,2016,Dementia,0.67
RJ7,2016,Disability,0.6852
RBN,2016,Cleanliness,1
RBN,2016,Food,0.9419
RBN,2016,Organisation Food,0.9413
RBN,2016,Ward Food,0.9424
RBN,2016,"Privacy, Dignity and Wellbeing",0.9835
RBN,2016,Condition Appearance and Maintenance,0.9928
RBN,2016,Dementia,0.9454
RBN,2016,Disability,0.9416
R1E,2016,Cleanliness,0.992
R1E,2016,Food,0.901
R1E,2016,Organisation Food,0.8415
R1E,2016,Ward Food,0.9693
R1E,2016,"Privacy, Dignity and Wellbeing",0.9278
R1E,2016,Condition Appearance and Maintenance,0.9862
R1E,2016,Dementia,0.9485
R1E,2016,Disability,0.9436
RWJ,2016,Cleanliness,0.9831
RWJ,2016,Food,0.896
RWJ,2016,Organisation Food,0.9729
RWJ,2016,Ward Food,0.8778
RWJ,2016,"Privacy, Dignity and Wellbeing",0.8498
RWJ,2016,Condition Appearance and Maintenance,0.9205
RWJ,2016,Dementia,0.6212
RWJ,2016,Disability,0.722
RXX,2016,Cleanliness,0.9829
RXX,2016,Food,0.923
RXX,2016,Organisation Food,0.8897
RXX,2016,Ward Food,0.9653
RXX,2016,"Privacy, Dignity and Wellbeing",0.9314
RXX,2016,Condition Appearance and Maintenance,0.9765
RXX,2016,Dementia,0.9274
RXX,2016,Disability,0.9407
RTP,2016,Cleanliness,0.995
RTP,2016,Food,0.8895
RTP,2016,Organisation Food,0.8688
RTP,2016,Ward Food,0.8942
RTP,2016,"Privacy, Dignity and Wellbeing",0.8148
RTP,2016,Condition Appearance and Maintenance,0.9557
RTP,2016,Dementia,0.6831
RTP,2016,Disability,0.7277
RDR,2016,Cleanliness,0.9893
RDR,2016,Food,0.924
RDR,2016,Organisation Food,0.8858
RDR,2016,Ward Food,0.9521
RDR,2016,"Privacy, Dignity and Wellbeing",0.7877
RDR,2016,Condition Appearance and Maintenance,0.8917
RDR,2016,Dementia,0.6905
RDR,2016,Disability,0.7501
RX2,2016,Cleanliness,0.9662
RX2,2016,Food,0.89
RX2,2016,Organisation Food,0.8734
RX2,2016,Ward Food,0.9163
RX2,2016,"Privacy, Dignity and Wellbeing",0.87
RX2,2016,Condition Appearance and Maintenance,0.938
RX2,2016,Dementia,0.7791
RX2,2016,Disability,0.8801
RMP,2016,Cleanliness,0.9726
RMP,2016,Food,0.8897
RMP,2016,Organisation Food,0.9074
RMP,2016,Ward Food,0.8846
RMP,2016,"Privacy, Dignity and Wellbeing",0.8287
RMP,2016,Condition Appearance and Maintenance,0.9519
RMP,2016,Dementia,0.8706
RMP,2016,Disability,0.9095
RBA,2016,Cleanliness,0.9947
RBA,2016,Food,0.9343
RBA,2016,Organisation Food,0.8851
RBA,2016,Ward Food,0.9458
RBA,2016,"Privacy, Dignity and Wellbeing",0.8655
RBA,2016,Condition Appearance and Maintenance,0.9532
RBA,2016,Dementia,0.7915
RBA,2016,Disability,0.7952
RX3,2016,Cleanliness,0.9677
RX3,2016,Food,0.9164
RX3,2016,Organisation Food,0.8589
RX3,2016,Ward Food,0.9435
RX3,2016,"Privacy, Dignity and Wellbeing",0.8558
RX3,2016,Condition Appearance and Maintenance,0.9179
RX3,2016,Dementia,0.79
RX3,2016,Disability,0.764
RBV,2016,Cleanliness,0.9904
RBV,2016,Food,0.9444
RBV,2016,Organisation Food,0.9473
RBV,2016,Ward Food,0.9429
RBV,2016,"Privacy, Dignity and Wellbeing",0.9286
RBV,2016,Condition Appearance and Maintenance,0.9767
RBV,2016,Dementia,0.8398
RBV,2016,Disability,0.8457
RNA,2016,Cleanliness,0.9914
RNA,2016,Food,0.8074
RNA,2016,Organisation Food,0.8346
RNA,2016,Ward Food,0.8001
RNA,2016,"Privacy, Dignity and Wellbeing",0.8401
RNA,2016,Condition Appearance and Maintenance,0.9659
RNA,2016,Dementia,0.8095
RNA,2016,Disability,0.8777
RAS,2016,Cleanliness,0.9759
RAS,2016,Food,0.958
RAS,2016,Organisation Food,0.9922
RAS,2016,Ward Food,0.9448
RAS,2016,"Privacy, Dignity and Wellbeing",0.8311
RAS,2016,Condition Appearance and Maintenance,0.8631
RAS,2016,Dementia,0.6939
RAS,2016,Disability,0.6817
RJ2,2016,Cleanliness,0.9493
RJ2,2016,Food,0.8552
RJ2,2016,Organisation Food,0.8944
RJ2,2016,Ward Food,0.8513
RJ2,2016,"Privacy, Dignity and Wellbeing",0.8228
RJ2,2016,Condition Appearance and Maintenance,0.8897
RJ2,2016,Dementia,0.7335
RJ2,2016,Disability,0.7898
RBT,2016,Cleanliness,0.986
RBT,2016,Food,0.8149
RBT,2016,Organisation Food,0.9341
RBT,2016,Ward Food,0.7748
RBT,2016,"Privacy, Dignity and Wellbeing",0.8989
RBT,2016,Condition Appearance and Maintenance,0.9173
RBT,2016,Dementia,0.7832
RBT,2016,Disability,0.7776
RTD,2016,Cleanliness,0.9991
RTD,2016,Food,0.8821
RTD,2016,Organisation Food,0.8379
RTD,2016,Ward Food,0.8922
RTD,2016,"Privacy, Dignity and Wellbeing",0.947
RTD,2016,Condition Appearance and Maintenance,0.9707
RTD,2016,Dementia,0.5855
RTD,2016,Disability,0.6908
RQW,2016,Cleanliness,0.9763
RQW,2016,Food,0.8659
RQW,2016,Organisation Food,0.7792
RQW,2016,Ward Food,0.8925
RQW,2016,"Privacy, Dignity and Wellbeing",0.7978
RQW,2016,Condition Appearance and Maintenance,0.9383
RQW,2016,Dementia,0.8032
RQW,2016,Disability,0.7477
RCX,2016,Cleanliness,0.9869
RCX,2016,Food,0.8691
RCX,2016,Organisation Food,0.8686
RCX,2016,Ward Food,0.8693
RCX,2016,"Privacy, Dignity and Wellbeing",0.7831
RCX,2016,Condition Appearance and Maintenance,0.899
RCX,2016,Dementia,0.729
RCX,2016,Disability,0.6875
RFR,2016,Cleanliness,0.9774
RFR,2016,Food,0.9102
RFR,2016,Organisation Food,0.868
RFR,2016,Ward Food,0.9218
RFR,2016,"Privacy, Dignity and Wellbeing",0.7358
RFR,2016,Condition Appearance and Maintenance,0.8821
RFR,2016,Dementia,0.6958
RFR,2016,Disability,0.7322
RDZ,2016,Cleanliness,0.96
RDZ,2016,Food,0.8576
RDZ,2016,Organisation Food,0.8822
RDZ,2016,Ward Food,0.8525
RDZ,2016,"Privacy, Dignity and Wellbeing",0.7989
RDZ,2016,Condition Appearance and Maintenance,0.9209
RDZ,2016,Dementia,0.7442
RDZ,2016,Disability,0.8129
RPY,2016,Cleanliness,0.9913
RPY,2016,Food,0.9619
RPY,2016,Organisation Food,0.9575
RPY,2016,Ward Food,0.964
RPY,2016,"Privacy, Dignity and Wellbeing",0.917
RPY,2016,Condition Appearance and Maintenance,0.9641
RPY,2016,Dementia,0.6934
RPY,2016,Disability,0.7747
RL4,2016,Cleanliness,0.9536
RL4,2016,Food,0.9211
RL4,2016,Organisation Food,0.8877
RL4,2016,Ward Food,0.933
RL4,2016,"Privacy, Dignity and Wellbeing",0.7866
RL4,2016,Condition Appearance and Maintenance,0.9288
RL4,2016,Dementia,0.7791
RL4,2016,Disability,0.7552
RKE,2016,Cleanliness,0.9832
RKE,2016,Food,0.8263
RKE,2016,Organisation Food,0.8318
RKE,2016,Ward Food,0.8239
RKE,2016,"Privacy, Dignity and Wellbeing",0.8906
RKE,2016,Condition Appearance and Maintenance,0.9481
RKE,2016,Dementia,0.9093
RKE,2016,Disability,0.8493
RA9,2016,Cleanliness,0.9851
RA9,2016,Food,0.9019
RA9,2016,Organisation Food,0.95
RA9,2016,Ward Food,0.8812
RA9,2016,"Privacy, Dignity and Wellbeing",0.8182
RA9,2016,Condition Appearance and Maintenance,0.9362
RA9,2016,Dementia,0.7785
RA9,2016,Disability,0.7974
RWD,2016,Cleanliness,0.9335
RWD,2016,Food,0.8257
RWD,2016,Organisation Food,0.9018
RWD,2016,Ward Food,0.8081
RWD,2016,"Privacy, Dignity and Wellbeing",0.8032
RWD,2016,Condition Appearance and Maintenance,0.8564
RWD,2016,Dementia,0.6165
RWD,2016,Disability,0.6859
RRV,2016,Cleanliness,0.9956
RRV,2016,Food,0.8608
RRV,2016,Organisation Food,0.8473
RRV,2016,Ward Food,0.8695
RRV,2016,"Privacy, Dignity and Wellbeing",0.8692
RRV,2016,Condition Appearance and Maintenance,0.972
RRV,2016,Dementia,0.769
RRV,2016,Disability,0.8587
RRK,2016,Cleanliness,0.9894
RRK,2016,Food,0.9378
RRK,2016,Organisation Food,0.8875
RRK,2016,Ward Food,0.9472
RRK,2016,"Privacy, Dignity and Wellbeing",0.8982
RRK,2016,Condition Appearance and Maintenance,0.9749
RRK,2016,Dementia,0.8609
RRK,2016,Disability,0.9206
RJE,2016,Cleanliness,0.9952
RJE,2016,Food,0.8865
RJE,2016,Organisation Food,0.8477
RJE,2016,Ward Food,0.8966
RJE,2016,"Privacy, Dignity and Wellbeing",0.8699
RJE,2016,Condition Appearance and Maintenance,0.9681
RJE,2016,Dementia,0.8011
RJE,2016,Disability,0.8547
RM2,2016,Cleanliness,0.9808
RM2,2016,Food,0.8887
RM2,2016,Organisation Food,0.8588
RM2,2016,Ward Food,0.898
RM2,2016,"Privacy, Dignity and Wellbeing",0.8663
RM2,2016,Condition Appearance and Maintenance,0.9514
RM2,2016,Dementia,0.8015
RM2,2016,Disability,0.8026
RHM,2016,Cleanliness,0.9584
RHM,2016,Food,0.7823
RHM,2016,Organisation Food,0.8733
RHM,2016,Ward Food,0.7611
RHM,2016,"Privacy, Dignity and Wellbeing",0.7932
RHM,2016,Condition Appearance and Maintenance,0.8999
RHM,2016,Dementia,0.5727
RHM,2016,Disability,0.6118
RA7,2016,Cleanliness,0.9954
RA7,2016,Food,0.9587
RA7,2016,Organisation Food,0.9635
RA7,2016,Ward Food,0.9552
RA7,2016,"Privacy, Dignity and Wellbeing",0.9033
RA7,2016,Condition Appearance and Maintenance,0.9383
RA7,2016,Dementia,0.8666
RA7,2016,Disability,0.7704
RKB,2016,Cleanliness,0.9891
RKB,2016,Food,0.8813
RKB,2016,Organisation Food,0.8155
RKB,2016,Ward Food,0.8949
RKB,2016,"Privacy, Dignity and Wellbeing",0.8944
RKB,2016,Condition Appearance and Maintenance,0.9493
RKB,2016,Dementia,0.7678
RKB,2016,Disability,0.8177
RWE,2016,Cleanliness,0.9037
RWE,2016,Food,0.7807
RWE,2016,Organisation Food,0.7944
RWE,2016,Ward Food,0.7772
RWE,2016,"Privacy, Dignity and Wellbeing",0.7584
RWE,2016,Condition Appearance and Maintenance,0.8023
RWE,2016,Dementia,0.6272
RWE,2016,Disability,0.6751
RTX,2016,Cleanliness,0.947
RTX,2016,Food,0.8447
RTX,2016,Organisation Food,0.748
RTX,2016,Ward Food,0.8891
RTX,2016,"Privacy, Dignity and Wellbeing",0.8606
RTX,2016,Condition Appearance and Maintenance,0.8965
RTX,2016,Dementia,0.8013
RTX,2016,Disability,0.7827
RBK,2016,Cleanliness,0.9799
RBK,2016,Food,0.8828
RBK,2016,Organisation Food,0.8616
RBK,2016,Ward Food,0.8869
RBK,2016,"Privacy, Dignity and Wellbeing",0.8329
RBK,2016,Condition Appearance and Maintenance,0.9412
RBK,2016,Dementia,0.7827
RBK,2016,Disability,0.7774
RET,2016,Cleanliness,0.999
RET,2016,Food,0.978
RET,2016,Organisation Food,0.9917
RET,2016,Ward Food,0.9679
RET,2016,"Privacy, Dignity and Wellbeing",0.961
RET,2016,Condition Appearance and Maintenance,0.9821
RET,2016,Dementia,0.9354
RET,2016,Disability,0.9597
RWW,2016,Cleanliness,0.9762
RWW,2016,Food,0.8409
RWW,2016,Organisation Food,0.8763
RWW,2016,Ward Food,0.8271
RWW,2016,"Privacy, Dignity and Wellbeing",0.7904
RWW,2016,Condition Appearance and Maintenance,0.8835
RWW,2016,Dementia,0.5362
RWW,2016,Disability,0.5814
RWG,2016,Cleanliness,0.9809
RWG,2016,Food,0.8057
RWG,2016,Organisation Food,0.8202
RWG,2016,Ward Food,0.8025
RWG,2016,"Privacy, Dignity and Wellbeing",0.6962
RWG,2016,Condition Appearance and Maintenance,0.8901
RWG,2016,Dementia,0.5341
RWG,2016,Disability,0.6041
RKL,2016,Cleanliness,0.9248
RKL,2016,Food,0.7904
RKL,2016,Organisation Food,0.6394
RKL,2016,Ward Food,0.8513
RKL,2016,"Privacy, Dignity and Wellbeing",0.8015
RKL,2016,Condition Appearance and Maintenance,0.892
RKL,2016,Dementia,0.8099
RKL,2016,Disability,0.7322
RGR,2016,Cleanliness,0.9992
RGR,2016,Food,0.833
RGR,2016,Organisation Food,0.8333
RGR,2016,Ward Food,0.8328
RGR,2016,"Privacy, Dignity and Wellbeing",0.7925
RGR,2016,Condition Appearance and Maintenance,0.9119
RGR,2016,Dementia,0.7569
RGR,2016,Disability,0.747
RYR,2016,Cleanliness,0.9932
RYR,2016,Food,0.8399
RYR,2016,Organisation Food,0.8634
RYR,2016,Ward Food,0.8252
RYR,2016,"Privacy, Dignity and Wellbeing",0.8771
RYR,2016,Condition Appearance and Maintenance,0.962
RYR,2016,Dementia,0.8518
RYR,2016,Disability,0.8375
RA3,2016,Cleanliness,0.994
RA3,2016,Food,0.8724
RA3,2016,Organisation Food,0.7347
RA3,2016,Ward Food,0.9162
RA3,2016,"Privacy, Dignity and Wellbeing",0.9259
RA3,2016,Condition Appearance and Maintenance,0.9335
RA3,2016,Dementia,0.8596
RA3,2016,Disability,0.813
RBL,2016,Cleanliness,0.9974
RBL,2016,Food,0.6615
RBL,2016,Organisation Food,0.565
RBL,2016,Ward Food,0.7174
RBL,2016,"Privacy, Dignity and Wellbeing",0.8718
RBL,2016,Condition Appearance and Maintenance,0.9649
RBL,2016,Dementia,0.7993
RBL,2016,Disability,0.8489
RWP,2016,Cleanliness,0.988
RWP,2016,Food,0.8165
RWP,2016,Organisation Food,0.7768
RWP,2016,Ward Food,0.8313
RWP,2016,"Privacy, Dignity and Wellbeing",0.7929
RWP,2016,Condition Appearance and Maintenance,0.933
RWP,2016,Dementia,0.5779
RWP,2016,Disability,0.6711
R1A,2016,Cleanliness,0.9876
R1A,2016,Food,0.9722
R1A,2016,Organisation Food,0.9536
R1A,2016,Ward Food,0.9906
R1A,2016,"Privacy, Dignity and Wellbeing",0.8829
R1A,2016,Condition Appearance and Maintenance,0.9217
R1A,2016,Dementia,0.7307
R1A,2016,Disability,0.8056
RRF,2016,Cleanliness,1
RRF,2016,Food,0.9684
RRF,2016,Organisation Food,0.9088
RRF,2016,Ward Food,0.984
RRF,2016,"Privacy, Dignity and Wellbeing",0.9135
RRF,2016,Condition Appearance and Maintenance,0.9963
RRF,2016,Dementia,0.9482
RRF,2016,Disability,0.9459
RLQ,2016,Cleanliness,0.9384
RLQ,2016,Food,0.8733
RLQ,2016,Organisation Food,0.8557
RLQ,2016,Ward Food,0.8763
RLQ,2016,"Privacy, Dignity and Wellbeing",0.7463
RLQ,2016,Condition Appearance and Maintenance,0.8643
RLQ,2016,Dementia,0.7111
RLQ,2016,Disability,0.7239
RA4,2016,Cleanliness,0.9713
RA4,2016,Food,0.8289
RA4,2016,Organisation Food,0.798
RA4,2016,Ward Food,0.8402
RA4,2016,"Privacy, Dignity and Wellbeing",0.7432
RA4,2016,Condition Appearance and Maintenance,0.896
RA4,2016,Dementia,0.6896
RA4,2016,Disability,0.7489
RCB,2016,Cleanliness,0.9948
RCB,2016,Food,0.8921
RCB,2016,Organisation Food,0.8772
RCB,2016,Ward Food,0.8968
RCB,2016,"Privacy, Dignity and Wellbeing",0.8185
RCB,2016,Condition Appearance and Maintenance,0.9731
RCB,2016,Dementia,0.7535
RCB,2016,Disability,0.7803
RTQ,2017,Cleanliness,0.7987
RTQ,2017,Food, -
RTQ,2017,Organisation Food, -
RTQ,2017,Ward Food, -
RTQ,2017,"Privacy, Dignity and Wellbeing",0.8857
RTQ,2017,Condition Appearance and Maintenance,0.7846
RTQ,2017,Dementia, -
RTQ,2017,Disability,0.6842
RTV,2017,Cleanliness,1
RTV,2017,Food,0.9582
RTV,2017,Organisation Food,0.9244
RTV,2017,Ward Food,1
RTV,2017,"Privacy, Dignity and Wellbeing",0.8056
RTV,2017,Condition Appearance and Maintenance,0.8933
RTV,2017,Dementia, -
RTV,2017,Disability,0.7379
REM,2017,Cleanliness,0.9962
REM,2017,Food,0.8913
REM,2017,Organisation Food,0.8186
REM,2017,Ward Food,0.9058
REM,2017,"Privacy, Dignity and Wellbeing",0.9065
REM,2017,Condition Appearance and Maintenance,0.969
REM,2017,Dementia,0.8342
REM,2017,Disability,0.9347
RCF,2017,Cleanliness,0.9721
RCF,2017,Food,0.9076
RCF,2017,Organisation Food,0.8417
RCF,2017,Ward Food,0.9231
RCF,2017,"Privacy, Dignity and Wellbeing",0.7835
RCF,2017,Condition Appearance and Maintenance,0.8939
RCF,2017,Dementia,0.7491
RCF,2017,Disability,0.8648
RBS,2017,Cleanliness,0.9578
RBS,2017,Food,0.8859
RBS,2017,Organisation Food,0.7908
RBS,2017,Ward Food,0.9151
RBS,2017,"Privacy, Dignity and Wellbeing",0.875
RBS,2017,Condition Appearance and Maintenance,0.9095
RBS,2017,Dementia, -
RBS,2017,Disability,0.6858
RTK,2017,Cleanliness,0.9983
RTK,2017,Food,0.9107
RTK,2017,Organisation Food,0.8117
RTK,2017,Ward Food,1
RTK,2017,"Privacy, Dignity and Wellbeing",0.8733
RTK,2017,Condition Appearance and Maintenance,0.9209
RTK,2017,Dementia,0.8253
RTK,2017,Disability,0.93
RVN,2017,Cleanliness,0.9969
RVN,2017,Food,0.8897
RVN,2017,Organisation Food,0.8652
RVN,2017,Ward Food,0.9023
RVN,2017,"Privacy, Dignity and Wellbeing",0.9089
RVN,2017,Condition Appearance and Maintenance,0.986
RVN,2017,Dementia,0.8926
RVN,2017,Disability,0.92
RF4,2017,Cleanliness,0.9793
RF4,2017,Food,0.9468
RF4,2017,Organisation Food,0.9708
RF4,2017,Ward Food,0.9393
RF4,2017,"Privacy, Dignity and Wellbeing",0.7885
RF4,2017,Condition Appearance and Maintenance,0.97
RF4,2017,Dementia,0.7655
RF4,2017,Disability,0.8507
RRP,2017,Cleanliness,0.9961
RRP,2017,Food,0.9667
RRP,2017,Organisation Food,0.9724
RRP,2017,Ward Food,0.9627
RRP,2017,"Privacy, Dignity and Wellbeing",0.8526
RRP,2017,Condition Appearance and Maintenance,0.9191
RRP,2017,Dementia,0.8912
RRP,2017,Disability,0.904
RFF,2017,Cleanliness,0.9929
RFF,2017,Food,0.8768
RFF,2017,Organisation Food,0.8919
RFF,2017,Ward Food,0.873
RFF,2017,"Privacy, Dignity and Wellbeing",0.8683
RFF,2017,Condition Appearance and Maintenance,0.9596
RFF,2017,Dementia,0.8294
RFF,2017,Disability,0.8701
R1H,2017,Cleanliness,0.9974
R1H,2017,Food,0.899
R1H,2017,Organisation Food,0.871
R1H,2017,Ward Food,0.9083
R1H,2017,"Privacy, Dignity and Wellbeing",0.703
R1H,2017,Condition Appearance and Maintenance,0.9312
R1H,2017,Dementia,0.5685
R1H,2017,Disability,0.6892
RDD,2017,Cleanliness,0.9977
RDD,2017,Food,0.92
RDD,2017,Organisation Food,0.9201
RDD,2017,Ward Food,0.92
RDD,2017,"Privacy, Dignity and Wellbeing",0.8643
RDD,2017,Condition Appearance and Maintenance,0.9882
RDD,2017,Dementia,0.912
RDD,2017,Disability,0.9204
RC1,2017,Cleanliness,0.9961
RC1,2017,Food,0.9657
RC1,2017,Organisation Food,0.9557
RC1,2017,Ward Food,0.9676
RC1,2017,"Privacy, Dignity and Wellbeing",0.8359
RC1,2017,Condition Appearance and Maintenance,0.9571
RC1,2017,Dementia,0.7862
RC1,2017,Disability,0.8331
RWX,2017,Cleanliness,1
RWX,2017,Food,0.9536
RWX,2017,Organisation Food,0.9431
RWX,2017,Ward Food,0.964
RWX,2017,"Privacy, Dignity and Wellbeing",0.954
RWX,2017,Condition Appearance and Maintenance,0.9786
RWX,2017,Dementia,0.9354
RWX,2017,Disability,0.9535
RXT,2017,Cleanliness,1
RXT,2017,Food,0.937
RXT,2017,Organisation Food,0.9424
RXT,2017,Ward Food,0.9323
RXT,2017,"Privacy, Dignity and Wellbeing",0.9432
RXT,2017,Condition Appearance and Maintenance,1
RXT,2017,Dementia, -
RXT,2017,Disability,0.9895
RQ3,2017,Cleanliness,0.9933
RQ3,2017,Food,0.8989
RQ3,2017,Organisation Food,0.8661
RQ3,2017,Ward Food,0.9344
RQ3,2017,"Privacy, Dignity and Wellbeing",0.9339
RQ3,2017,Condition Appearance and Maintenance,0.9691
RQ3,2017,Dementia, -
RQ3,2017,Disability,0.8972
RYW,2017,Cleanliness,1
RYW,2017,Food,0.8581
RYW,2017,Organisation Food,0.8808
RYW,2017,Ward Food,0.8349
RYW,2017,"Privacy, Dignity and Wellbeing",0.7885
RYW,2017,Condition Appearance and Maintenance,0.9816
RYW,2017,Dementia,0.8813
RYW,2017,Disability,0.9215
RLU,2017,Cleanliness,0.9938
RLU,2017,Food,0.8211
RLU,2017,Organisation Food,0.7726
RLU,2017,Ward Food,0.9079
RLU,2017,"Privacy, Dignity and Wellbeing",0.9111
RLU,2017,Condition Appearance and Maintenance,0.9409
RLU,2017,Dementia,0.5977
RLU,2017,Disability,0.5968
RXL,2017,Cleanliness,0.9968
RXL,2017,Food,0.8378
RXL,2017,Organisation Food,0.8536
RXL,2017,Ward Food,0.8279
RXL,2017,"Privacy, Dignity and Wellbeing",0.8991
RXL,2017,Condition Appearance and Maintenance,0.9592
RXL,2017,Dementia,0.8599
RXL,2017,Disability,0.8878
RMC,2017,Cleanliness,0.9488
RMC,2017,Food,0.8594
RMC,2017,Organisation Food,0.8175
RMC,2017,Ward Food,0.9006
RMC,2017,"Privacy, Dignity and Wellbeing",0.6274
RMC,2017,Condition Appearance and Maintenance,0.8604
RMC,2017,Dementia,0.5871
RMC,2017,Disability,0.728
RAE,2017,Cleanliness,0.9821
RAE,2017,Food,0.869
RAE,2017,Organisation Food,0.8505
RAE,2017,Ward Food,0.8832
RAE,2017,"Privacy, Dignity and Wellbeing",0.76
RAE,2017,Condition Appearance and Maintenance,0.8623
RAE,2017,Dementia,0.7583
RAE,2017,Disability,0.741
RY2,2017,Cleanliness,1
RY2,2017,Food,0.9404
RY2,2017,Organisation Food,0.9425
RY2,2017,Ward Food,0.9377
RY2,2017,"Privacy, Dignity and Wellbeing",0.9516
RY2,2017,Condition Appearance and Maintenance,0.9722
RY2,2017,Dementia,0.8493
RY2,2017,Disability,0.9296
RXH,2017,Cleanliness,0.964
RXH,2017,Food,0.9191
RXH,2017,Organisation Food,0.9145
RXH,2017,Ward Food,0.9215
RXH,2017,"Privacy, Dignity and Wellbeing",0.5969
RXH,2017,Condition Appearance and Maintenance,0.9211
RXH,2017,Dementia,0.6453
RXH,2017,Disability,0.7194
RXQ,2017,Cleanliness,0.9964
RXQ,2017,Food,0.8456
RXQ,2017,Organisation Food,0.8773
RXQ,2017,Ward Food,0.8142
RXQ,2017,"Privacy, Dignity and Wellbeing",0.6842
